computed: ['13.45', '86.55', '0.00']
car: ['0.30', '99.70', '0.00']
dating: ['86.36', '13.63', '0.01']
feedback: ['8.98', '87.03', '3.99']
hearts: ['96.73', '0.32', '2.95']
spatial: ['0.11', '99.60', '0.29']
involving: ['70.97', '11.26', '17.77']
seating: ['0.65', '11.23', '88.12']
account: ['94.31', '0.20', '5.49']
handed: ['8.89', '0.34', '90.77']
ross: ['0.01', '99.91', '0.08']
prophet: ['86.72', '13.00', '0.28']
grain: ['0.01', '9.12', '90.88']
symphony: ['93.49', '0.00', '6.51']
realistic: ['13.90', '86.08', '0.02']
barbados: ['2.89', '23.51', '73.60']
correct: ['69.31', '30.69', '0.00']
rivers: ['0.00', '0.00', '100.00']
relocation: ['2.54', '88.22', '9.25']
weight: ['5.43', '94.23', '0.34']
martial: ['0.00', '100.00', '0.00']
puppy: ['0.00', '100.00', '0.00']
career: ['0.10', '0.01', '99.88']
desktops: ['0.48', '0.90', '98.63']
entered: ['0.86', '0.02', '99.12']
process: ['0.00', '99.64', '0.36']
commitments: ['0.63', '7.85', '91.52']
discussing: ['44.25', '55.69', '0.06']
brings: ['97.16', '0.25', '2.58']
hon: ['25.48', '73.95', '0.57']
letters: ['60.23', '3.39', '36.37']
wife: ['0.00', '100.00', '0.00']
vault: ['40.52', '7.92', '51.55']
candidate: ['1.09', '96.31', '2.60']
regulatory: ['0.07', '99.90', '0.03']
announcement: ['3.24', '78.57', '18.20']
sign: ['0.01', '0.56', '99.43']
paid: ['96.25', '3.74', '0.01']
casinos: ['99.97', '0.00', '0.02']
stations: ['0.00', '50.59', '49.41']
employ: ['78.25', '21.45', '0.31']
arising: ['99.55', '0.45', '0.00']
constitution: ['0.02', '99.90', '0.08']
bored: ['69.32', '3.03', '27.64']
assignments: ['6.40', '52.46', '41.13']
casey: ['0.05', '0.02', '99.93']
beat: ['7.73', '65.66', '26.61']
places: ['0.11', '58.76', '41.12']
aspects: ['0.02', '80.54', '19.44']
pencil: ['9.99', '75.02', '14.99']
recipient: ['2.67', '1.40', '95.93']
sacrifice: ['15.88', '81.95', '2.18']
aged: ['0.00', '0.00', '100.00']
harvest: ['20.35', '1.16', '78.50']
distributions: ['0.71', '97.93', '1.37']
administered: ['47.23', '29.90', '22.87']
delight: ['95.04', '1.48', '3.48']
performances: ['22.54', '17.38', '60.08']
applicants: ['9.67', '88.17', '2.16']
broadcasting: ['0.21', '98.36', '1.43']
acceptance: ['0.39', '99.10', '0.50']
editorials: ['98.76', '1.20', '0.04']
latina: ['69.74', '13.62', '16.64']
compliant: ['95.80', '2.31', '1.89']
planner: ['98.25', '0.11', '1.64']
architecture: ['8.75', '60.51', '30.74']
native: ['44.74', '54.94', '0.32']
infants: ['1.35', '8.76', '89.89']
bacteria: ['28.14', '39.51', '32.35']
lounge: ['9.02', '0.61', '90.37']
forget: ['14.65', '72.53', '12.82']
eval: ['2.48', '97.52', '0.00']
awards: ['81.64', '3.35', '15.01']
bloom: ['0.30', '1.41', '98.29']
painful: ['0.91', '92.73', '6.36']
enquiry: ['90.41', '1.70', '7.88']
thee: ['15.74', '84.26', '0.00']
modes: ['0.01', '0.00', '99.99']
chose: ['79.23', '13.77', '6.99']
fiction: ['67.83', '16.35', '15.82']
resistant: ['99.54', '0.00', '0.46']
tags: ['88.53', '11.23', '0.24']
drunk: ['0.03', '95.75', '4.22']
coins: ['89.12', '7.96', '2.92']
attachments: ['48.82', '46.34', '4.85']
slip: ['2.34', '0.06', '97.60']
claim: ['98.09', '1.90', '0.01']
telecommunications: ['2.53', '17.56', '79.91']
updated: ['99.53', '0.47', '0.00']
reply: ['99.61', '0.37', '0.01']
amino: ['96.00', '0.00', '4.00']
common: ['5.74', '94.26', '0.00']
lesbians: ['0.30', '40.42', '59.27']
ears: ['20.57', '0.00', '79.43']
sizes: ['0.00', '0.00', '100.00']
incl: ['1.02', '1.63', '97.35']
electron: ['53.68', '23.22', '23.10']
harrison: ['2.24', '90.30', '7.46']
illness: ['0.00', '99.98', '0.02']
useful: ['9.58', '90.42', '0.00']
distribution: ['6.17', '92.89', '0.94']
blow: ['0.26', '0.05', '99.70']
cat: ['0.14', '99.86', '0.01']
traveling: ['55.33', '43.20', '1.47']
merry: ['99.98', '0.01', '0.00']
venture: ['96.60', '0.81', '2.58']
footage: ['0.02', '99.31', '0.67']
attacks: ['0.06', '0.00', '99.94']
eagle: ['0.13', '99.45', '0.43']
drawings: ['13.12', '86.71', '0.17']
guest: ['98.47', '1.49', '0.04']
couples: ['49.90', '42.46', '7.64']
messages: ['0.77', '4.77', '94.46']
fellowship: ['78.94', '3.83', '17.22']
agenda: ['67.50', '4.18', '28.32']
ordering: ['35.89', '60.44', '3.67']
restructuring: ['40.81', '8.36', '50.83']
appearing: ['49.51', '26.31', '24.18']
derek: ['99.59', '0.01', '0.40']
mistakes: ['2.07', '51.72', '46.22']
scale: ['0.73', '0.33', '98.94']
aim: ['38.89', '3.71', '57.40']
nail: ['0.00', '96.36', '3.64']
techno: ['0.59', '98.64', '0.77']
carroll: ['99.99', '0.01', '0.00']
foundations: ['7.85', '47.37', '44.77']
households: ['3.92', '0.83', '95.25']
village: ['0.02', '0.27', '99.71']
accent: ['99.42', '0.23', '0.35']
guardian: ['46.27', '16.71', '37.03']
creations: ['2.77', '84.63', '12.60']
vol: ['99.99', '0.00', '0.01']
fighting: ['12.49', '20.72', '66.79']
trout: ['0.75', '14.69', '84.55']
discuss: ['17.83', '82.15', '0.02']
zu: ['0.00', '98.65', '1.35']
radios: ['0.00', '99.99', '0.01']
defence: ['3.78', '96.06', '0.16']
oral: ['0.16', '0.03', '99.81']
efforts: ['0.01', '0.07', '99.92']
public: ['94.54', '3.74', '1.72']
flags: ['0.08', '78.31', '21.61']
rotary: ['2.65', '97.31', '0.05']
subscription: ['87.44', '11.09', '1.47']
know: ['0.00', '100.00', '0.00']
identifier: ['84.52', '0.64', '14.84']
probe: ['0.48', '47.60', '51.91']
destruction: ['32.07', '24.54', '43.39']
reminder: ['20.89', '16.37', '62.73']
permission: ['0.26', '94.76', '4.97']
rank: ['0.00', '99.72', '0.28']
rss: ['74.89', '25.10', '0.01']
presented: ['99.60', '0.39', '0.01']
depending: ['0.19', '99.76', '0.05']
licensing: ['44.76', '37.00', '18.25']
vocabulary: ['93.32', '0.64', '6.05']
midnight: ['1.73', '97.98', '0.29']
av: ['0.00', '99.73', '0.27']
cognitive: ['0.27', '99.69', '0.03']
exceptions: ['2.35', '33.77', '63.88']
failed: ['0.26', '67.13', '32.62']
spell: ['0.57', '89.05', '10.38']
romance: ['37.97', '61.67', '0.37']
degrees: ['0.04', '0.06', '99.91']
surplus: ['72.39', '27.60', '0.01']
faced: ['4.52', '1.36', '94.12']
version: ['1.03', '38.79', '60.19']
holy: ['9.53', '77.76', '12.71']
wonderful: ['98.65', '0.94', '0.41']
accounts: ['97.06', '0.44', '2.49']
stone: ['0.00', '45.67', '54.33']
pour: ['0.00', '0.06', '99.93']
automobile: ['97.40', '2.59', '0.01']
cheat: ['0.50', '83.14', '16.36']
forming: ['40.95', '30.24', '28.81']
protein: ['3.06', '96.85', '0.09']
consortium: ['99.64', '0.04', '0.32']
browsing: ['94.47', '4.22', '1.31']
pork: ['0.00', '100.00', '0.00']
swap: ['88.09', '11.31', '0.60']
championship: ['3.99', '0.19', '95.83']
tap: ['84.79', '0.00', '15.21']
removable: ['93.06', '0.24', '6.70']
senator: ['1.32', '84.87', '13.81']
contact: ['88.84', '0.01', '11.15']
relative: ['0.71', '99.29', '0.00']
customized: ['99.94', '0.00', '0.05']
lightning: ['4.29', '83.19', '12.52']
sponsored: ['99.96', '0.03', '0.01']
pubmed: ['0.28', '98.93', '0.79']
favors: ['0.47', '0.45', '99.08']
shipment: ['3.18', '61.39', '35.42']
inspiration: ['20.37', '4.77', '74.86']
tall: ['0.01', '99.91', '0.08']
encouraged: ['81.79', '1.93', '16.28']
withdrawal: ['3.13', '2.73', '94.15']
songs: ['99.99', '0.01', '0.00']
division: ['98.93', '0.48', '0.59']
allowance: ['0.00', '100.00', '0.00']
anniversary: ['52.58', '18.01', '29.41']
planners: ['98.25', '0.11', '1.64']
processor: ['38.40', '61.05', '0.55']
comment: ['0.01', '99.48', '0.51']
landscape: ['0.00', '0.58', '99.42']
related: ['99.99', '0.01', '0.00']
facts: ['0.00', '100.00', '0.00']
compound: ['89.00', '10.80', '0.19']
font: ['0.13', '82.77', '17.09']
appliances: ['98.06', '1.87', '0.07']
basename: ['18.39', '72.62', '9.00']
consists: ['99.65', '0.01', '0.35']
bitch: ['0.27', '94.39', '5.34']
ebony: ['0.06', '60.62', '39.31']
underwear: ['62.45', '17.20', '20.35']
cake: ['0.00', '99.09', '0.91']
reasonable: ['24.21', '75.79', '0.00']
annotated: ['99.35', '0.55', '0.11']
ukraine: ['2.14', '29.44', '68.42']
helping: ['0.16', '10.08', '89.76']
forbes: ['30.76', '69.23', '0.01']
stands: ['0.26', '15.77', '83.97']
registered: ['99.04', '0.36', '0.60']
programmers: ['14.01', '84.96', '1.04']
boc: ['19.07', '33.67', '47.25']
clay: ['0.00', '98.82', '1.18']
differ: ['0.09', '99.91', '0.00']
sheer: ['82.41', '12.80', '4.79']
papers: ['80.85', '19.10', '0.06']
contacted: ['86.66', '1.04', '12.30']
law: ['0.00', '100.00', '0.00']
due: ['100.00', '0.00', '0.00']
pendant: ['65.70', '0.41', '33.89']
railroad: ['16.55', '77.34', '6.11']
sweet: ['0.10', '99.84', '0.07']
borders: ['2.42', '0.95', '96.63']
spelling: ['46.66', '50.86', '2.47']
engine: ['74.95', '25.04', '0.00']
guide: ['99.99', '0.01', '0.00']
statistics: ['0.01', '99.99', '0.00']
sells: ['99.98', '0.02', '0.00']
legend: ['7.82', '74.82', '17.36']
transmit: ['90.62', '1.66', '7.72']
reaction: ['0.17', '98.53', '1.30']
workstation: ['0.37', '40.63', '59.00']
democracy: ['8.98', '17.57', '73.45']
manufacturers: ['99.96', '0.01', '0.03']
aggressive: ['82.44', '16.73', '0.83']
architectural: ['20.30', '61.70', '18.00']
poetry: ['98.73', '0.88', '0.39']
plant: ['0.13', '99.87', '0.00']
extensions: ['4.39', '58.70', '36.92']
plots: ['74.16', '6.30', '19.54']
vhs: ['99.85', '0.00', '0.15']
departments: ['89.06', '0.68', '10.26']
areas: ['0.00', '4.94', '95.06']
projectors: ['8.81', '84.48', '6.71']
applicant: ['0.06', '99.86', '0.08']
observations: ['0.32', '96.36', '3.32']
manufacturer: ['99.96', '0.02', '0.02']
lay: ['0.00', '100.00', '0.00']
closer: ['0.59', '99.31', '0.10']
genetics: ['0.00', '99.99', '0.00']
weather: ['0.00', '94.32', '5.68']
refuse: ['14.99', '51.79', '33.23']
polished: ['99.61', '0.13', '0.26']
guinea: ['0.75', '96.41', '2.84']
logan: ['99.44', '0.26', '0.31']
wood: ['0.15', '62.13', '37.72']
global: ['99.00', '0.00', '1.00']
drive: ['2.61', '96.78', '0.61']
calculators: ['28.74', '71.26', '0.00']
roles: ['0.00', '0.00', '100.00']
admissions: ['0.98', '91.92', '7.10']
plants: ['3.79', '96.20', '0.01']
wins: ['0.42', '0.00', '99.58']
projection: ['11.42', '55.44', '33.14']
production: ['91.06', '0.70', '8.24']
herbal: ['0.05', '99.88', '0.08']
pushing: ['21.39', '35.71', '42.89']
sudden: ['18.23', '10.08', '71.68']
handjob: ['54.91', '3.96', '41.13']
energy: ['13.28', '86.71', '0.01']
summary: ['99.69', '0.31', '0.00']
presentation: ['6.16', '92.21', '1.63']
problem: ['0.02', '99.75', '0.23']
pathology: ['1.57', '98.41', '0.02']
preference: ['0.17', '99.75', '0.08']
treating: ['3.49', '55.61', '40.90']
situation: ['0.00', '93.74', '6.26']
suffering: ['4.81', '4.21', '90.99']
fees: ['0.03', '99.97', '0.00']
hispanic: ['10.86', '0.93', '88.21']
fishing: ['99.16', '0.01', '0.83']
undo: ['89.86', '0.35', '9.79']
rising: ['98.13', '1.86', '0.00']
amateur: ['25.88', '27.60', '46.52']
dawn: ['1.39', '82.67', '15.94']
metabolism: ['47.93', '51.38', '0.69']
occasional: ['18.37', '79.38', '2.25']
recording: ['96.83', '1.54', '1.63']
coming: ['37.90', '62.08', '0.02']
hide: ['99.33', '0.66', '0.01']
measures: ['0.00', '99.98', '0.02']
butter: ['14.08', '85.92', '0.00']
duties: ['63.32', '35.29', '1.39']
mentioned: ['99.78', '0.21', '0.02']
writings: ['99.71', '0.26', '0.03']
journalists: ['14.50', '60.81', '24.69']
mattress: ['0.19', '99.63', '0.18']
solid: ['99.64', '0.35', '0.01']
born: ['0.00', '0.01', '99.99']
change: ['2.08', '97.52', '0.41']
century: ['96.79', '3.19', '0.02']
fear: ['0.05', '96.98', '2.97']
putting: ['12.35', '87.20', '0.45']
lead: ['100.00', '0.00', '0.00']
intermediate: ['76.36', '23.28', '0.36']
commit: ['0.91', '84.30', '14.79']
manual: ['21.75', '78.24', '0.01']
trusts: ['1.65', '2.11', '96.24']
designs: ['92.30', '2.47', '5.23']
clean: ['99.99', '0.00', '0.01']
defense: ['23.21', '76.76', '0.03']
essays: ['99.99', '0.00', '0.00']
referred: ['99.99', '0.00', '0.01']
cancer: ['0.00', '98.12', '1.88']
wines: ['99.94', '0.00', '0.06']
royalty: ['32.96', '66.83', '0.21']
negative: ['24.51', '75.47', '0.02']
immunology: ['1.57', '98.41', '0.02']
disciplines: ['3.07', '94.47', '2.46']
arrangements: ['88.63', '1.59', '9.78']
hull: ['27.63', '22.25', '50.12']
classroom: ['5.15', '0.51', '94.35']
rooms: ['0.03', '0.00', '99.97']
maintain: ['97.59', '1.60', '0.81']
list: ['100.00', '0.00', '0.00']
cabinets: ['99.21', '0.20', '0.59']
lime: ['0.35', '74.33', '25.33']
blogs: ['99.39', '0.61', '0.00']
packaging: ['96.85', '0.10', '3.05']
payday: ['94.59', '3.68', '1.73']
adult: ['12.48', '33.33', '54.20']
trail: ['5.59', '83.27', '11.14']
sterling: ['99.68', '0.02', '0.31']
respected: ['72.87', '27.06', '0.07']
periodic: ['68.38', '31.19', '0.43']
rise: ['99.91', '0.08', '0.01']
soldier: ['0.01', '49.49', '50.50']
resistance: ['58.58', '8.27', '33.16']
nominations: ['0.31', '18.98', '80.71']
enhancements: ['0.10', '99.71', '0.19']
screenshots: ['0.41', '98.69', '0.90']
attitudes: ['4.06', '95.43', '0.51']
wanna: ['0.00', '99.15', '0.85']
employee: ['4.74', '33.45', '61.81']
launched: ['99.24', '0.00', '0.76']
translation: ['65.52', '3.43', '31.05']
vacations: ['5.48', '16.75', '77.77']
releases: ['97.28', '0.06', '2.66']
detect: ['97.12', '2.87', '0.01']
scoring: ['0.04', '0.01', '99.95']
sharing: ['10.86', '88.50', '0.64']
segments: ['73.78', '25.11', '1.12']
weekends: ['1.16', '0.93', '97.91']
try: ['0.04', '95.33', '4.63']
partnerships: ['78.59', '0.01', '21.40']
final: ['0.44', '91.27', '8.28']
cultures: ['0.61', '30.43', '68.95']
conclusions: ['89.25', '10.51', '0.24']
strand: ['24.21', '4.79', '71.00']
photographer: ['39.27', '24.16', '36.57']
wave: ['43.79', '4.28', '51.93']
remaining: ['91.53', '4.18', '4.29']
controversial: ['14.86', '84.88', '0.26']
cricket: ['0.00', '0.24', '99.76']
husband: ['0.15', '99.71', '0.14']
reliable: ['99.55', '0.41', '0.04']
trip: ['4.72', '0.48', '94.81']
appearance: ['2.68', '22.06', '75.26']
church: ['5.15', '94.78', '0.07']
mozambique: ['22.63', '1.93', '75.44']
favor: ['1.50', '46.55', '51.95']
motion: ['0.00', '100.00', '0.00']
get: ['99.97', '0.01', '0.03']
petition: ['0.16', '99.83', '0.01']
ruled: ['49.96', '50.04', '0.00']
errors: ['0.00', '99.99', '0.01']
disc: ['48.73', '49.98', '1.29']
triumph: ['55.33', '4.38', '40.29']
moss: ['0.00', '99.97', '0.03']
category: ['100.00', '0.00', '0.00']
parents: ['0.10', '98.69', '1.21']
brake: ['0.01', '99.99', '0.00']
array: ['99.91', '0.05', '0.04']
satisfy: ['99.97', '0.02', '0.01']
statement: ['0.04', '99.67', '0.29']
stays: ['0.00', '0.20', '99.80']
cheers: ['14.79', '83.47', '1.74']
discover: ['99.99', '0.01', '0.00']
suffered: ['71.25', '0.09', '28.66']
determining: ['2.50', '97.49', '0.01']
mortality: ['27.08', '69.16', '3.76']
clothing: ['97.96', '2.01', '0.03']
semiconductor: ['95.51', '4.47', '0.02']
cleaners: ['99.50', '0.08', '0.42']
mic: ['0.77', '0.09', '99.14']
volume: ['97.50', '0.00', '2.49']
streaming: ['2.87', '2.01', '95.13']
motors: ['98.93', '1.07', '0.00']
confidence: ['49.73', '38.11', '12.16']
endorsed: ['78.96', '1.03', '20.01']
action: ['0.00', '89.08', '10.92']
commentary: ['91.35', '8.50', '0.14']
complimentary: ['98.41', '1.15', '0.44']
logistics: ['69.87', '29.54', '0.59']
mhz: ['1.30', '21.37', '77.33']
bare: ['99.01', '0.76', '0.24']
stainless: ['99.72', '0.00', '0.28']
postposted: ['19.07', '33.67', '47.25']
shows: ['95.11', '0.43', '4.46']
stupid: ['73.21', '26.75', '0.04']
prevention: ['20.78', '37.70', '41.52']
celebrity: ['12.75', '87.04', '0.21']
game: ['0.00', '99.04', '0.96']
other: ['3.66', '95.78', '0.56']
affairs: ['0.53', '56.23', '43.24']
rare: ['93.37', '6.60', '0.03']
prot: ['80.68', '17.88', '1.44']
guidance: ['20.19', '79.67', '0.14']
repeat: ['99.19', '0.43', '0.38']
folders: ['64.45', '1.99', '33.56']
cinema: ['0.01', '0.02', '99.97']
columnists: ['17.89', '63.86', '18.25']
collins: ['59.16', '32.03', '8.81']
blood: ['0.07', '63.95', '35.99']
championships: ['1.23', '0.04', '98.73']
potter: ['99.87', '0.10', '0.03']
incest: ['0.00', '95.55', '4.45']
balanced: ['97.93', '2.07', '0.00']
prominent: ['95.60', '3.83', '0.57']
kitty: ['2.76', '96.68', '0.55']
nutten: ['19.07', '33.67', '47.25']
medication: ['0.00', '97.03', '2.97']
inquiry: ['33.16', '9.92', '56.92']
unique: ['99.96', '0.00', '0.04']
population: ['3.20', '2.57', '94.23']
oil: ['0.00', '49.97', '50.03']
psychological: ['0.11', '99.86', '0.03']
estimates: ['2.14', '97.86', '0.00']
varies: ['4.15', '95.84', '0.01']
charger: ['96.88', '2.83', '0.30']
soft: ['76.78', '0.03', '23.20']
sequences: ['55.68', '30.92', '13.40']
seeks: ['0.00', '0.05', '99.95']
lodging: ['81.74', '16.77', '1.49']
governor: ['0.02', '99.93', '0.05']
crude: ['0.07', '89.26', '10.67']
twin: ['8.07', '91.92', '0.00']
assessments: ['0.48', '99.45', '0.06']
seeds: ['0.00', '99.53', '0.47']
operates: ['1.64', '1.19', '97.18']
hint: ['0.68', '97.29', '2.03']
endorsement: ['6.30', '77.61', '16.09']
optics: ['30.66', '65.20', '4.14']
breasts: ['0.02', '0.69', '99.29']
exchange: ['86.19', '12.94', '0.87']
doctor: ['0.01', '22.96', '77.03']
iron: ['0.40', '98.30', '1.29']
starter: ['52.43', '2.03', '45.54']
constitute: ['30.97', '68.86', '0.17']
medline: ['0.56', '94.19', '5.25']
requirement: ['0.00', '99.93', '0.07']
rows: ['0.04', '0.91', '99.05']
selection: ['93.86', '0.52', '5.62']
dose: ['0.00', '1.12', '98.88']
businesses: ['47.95', '0.30', '51.75']
electronics: ['95.51', '4.47', '0.02']
religious: ['0.22', '99.62', '0.15']
revisions: ['32.87', '64.47', '2.65']
intervention: ['0.08', '92.29', '7.63']
walker: ['0.01', '2.93', '97.07']
meters: ['2.78', '0.07', '97.15']
removed: ['99.70', '0.28', '0.02']
works: ['0.07', '86.47', '13.46']
eclipse: ['0.56', '1.52', '97.92']
occur: ['37.58', '62.41', '0.00']
risk: ['0.00', '99.13', '0.87']
sandy: ['1.45', '24.98', '73.58']
released: ['99.96', '0.00', '0.04']
brilliant: ['99.92', '0.01', '0.07']
danger: ['0.47', '98.83', '0.70']
launch: ['79.43', '0.45', '20.12']
rebate: ['45.09', '5.17', '49.73']
judicial: ['0.67', '99.30', '0.03']
sellers: ['100.00', '0.00', '0.00']
did: ['0.00', '83.98', '16.02']
pen: ['71.49', '0.18', '28.33']
analysts: ['87.45', '12.52', '0.04']
details: ['0.00', '99.97', '0.03']
lines: ['57.02', '0.00', '42.98']
documented: ['99.85', '0.12', '0.02']
contacting: ['94.19', '1.69', '4.12']
fitness: ['3.05', '96.92', '0.03']
resource: ['95.36', '3.52', '1.12']
dildo: ['0.06', '60.62', '39.31']
drugs: ['0.00', '99.84', '0.16']
oops: ['59.07', '26.13', '14.80']
dying: ['1.44', '98.46', '0.10']
episode: ['0.71', '5.64', '93.66']
parking: ['1.31', '92.70', '5.98']
contained: ['100.00', '0.00', '0.00']
deadly: ['97.42', '0.10', '2.49']
agriculture: ['1.42', '86.07', '12.50']
brought: ['99.67', '0.32', '0.00']
bahrain: ['3.19', '5.11', '91.70']
treated: ['1.87', '64.16', '33.97']
entries: ['69.58', '17.65', '12.77']
pleasant: ['96.81', '0.85', '2.34']
markets: ['37.40', '0.03', '62.57']
merchant: ['78.73', '0.00', '21.27']
relationship: ['2.82', '91.69', '5.49']
dash: ['0.60', '99.39', '0.01']
representation: ['0.92', '20.44', '78.65']
finished: ['95.45', '0.06', '4.49']
meat: ['0.09', '99.91', '0.00']
pvc: ['63.08', '0.00', '36.92']
exempt: ['14.30', '85.45', '0.25']
justify: ['71.86', '28.13', '0.00']
problems: ['0.00', '99.53', '0.47']
praise: ['49.97', '36.86', '13.17']
radical: ['81.77', '18.19', '0.04']
hobbies: ['89.56', '10.37', '0.07']
farm: ['0.92', '9.78', '89.30']
surprised: ['0.76', '97.73', '1.51']
equilibrium: ['65.16', '33.85', '0.99']
evidence: ['0.01', '99.99', '0.00']
coating: ['65.48', '25.56', '8.96']
hole: ['0.00', '0.00', '100.00']
wishlist: ['100.00', '0.00', '0.00']
geographic: ['6.79', '82.65', '10.56']
accept: ['9.67', '61.77', '28.55']
nut: ['0.03', '99.88', '0.09']
guy: ['0.00', '99.98', '0.02']
maine: ['84.91', '0.07', '15.03']
lite: ['92.45', '0.02', '7.53']
wives: ['73.67', '19.87', '6.46']
sitemap: ['97.67', '2.33', '0.00']
various: ['0.28', '99.72', '0.00']
strengthening: ['92.13', '5.58', '2.29']
cheats: ['0.50', '83.14', '16.36']
bugs: ['0.00', '99.99', '0.01']
wants: ['0.02', '0.22', '99.76']
winter: ['6.49', '0.16', '93.35']
copied: ['99.56', '0.03', '0.41']
correspondence: ['73.66', '25.07', '1.27']
jewelry: ['99.78', '0.00', '0.22']
postings: ['2.04', '97.96', '0.00']
races: ['0.37', '26.57', '73.06']
engineer: ['29.98', '70.00', '0.02']
feeling: ['0.58', '97.57', '1.85']
fingering: ['69.78', '2.19', '28.02']
vessel: ['94.50', '0.37', '5.13']
induction: ['18.58', '60.35', '21.07']
bull: ['2.12', '33.56', '64.32']
reaches: ['7.28', '0.54', '92.18']
journalism: ['0.56', '95.83', '3.61']
resumes: ['96.90', '0.54', '2.56']
difficulty: ['0.02', '93.24', '6.74']
exceptional: ['99.82', '0.15', '0.03']
built: ['78.71', '21.24', '0.05']
custom: ['99.25', '0.01', '0.74']
lookup: ['99.93', '0.06', '0.01']
clerk: ['0.73', '16.10', '83.17']
rocky: ['0.07', '54.13', '45.81']
robots: ['87.26', '12.57', '0.17']
variables: ['0.00', '99.98', '0.02']
establishing: ['14.32', '81.27', '4.42']
salem: ['88.86', '11.02', '0.12']
exercise: ['11.36', '88.46', '0.19']
appeared: ['98.85', '0.06', '1.09']
abandoned: ['64.25', '33.54', '2.21']
grass: ['0.00', '99.97', '0.03']
peaceful: ['89.89', '3.52', '6.59']
looked: ['0.05', '99.60', '0.35']
sectors: ['0.48', '0.01', '99.51']
adjust: ['2.09', '97.70', '0.22']
ranges: ['80.31', '17.55', '2.14']
spaces: ['0.10', '0.01', '99.90']
discrimination: ['0.01', '98.29', '1.70']
xnxx: ['0.24', '0.00', '99.76']
islands: ['98.16', '0.00', '1.84']
interfaces: ['0.10', '11.36', '88.55']
bones: ['96.60', '3.33', '0.06']
fire: ['0.01', '95.01', '4.97']
liked: ['1.94', '98.05', '0.01']
stopped: ['31.37', '0.33', '68.30']
browse: ['99.96', '0.00', '0.04']
illustration: ['7.21', '56.58', '36.21']
jam: ['0.00', '100.00', '0.00']
boulder: ['0.02', '3.98', '96.00']
jets: ['0.08', '0.00', '99.92']
systematic: ['97.89', '2.04', '0.06']
wet: ['0.00', '98.62', '1.38']
new: ['100.00', '0.00', '0.00']
ordered: ['98.98', '0.97', '0.05']
poverty: ['0.35', '30.69', '68.96']
highlight: ['99.97', '0.03', '0.00']
physiology: ['0.07', '99.91', '0.02']
ripe: ['0.26', '0.04', '99.70']
minister: ['27.75', '67.56', '4.69']
falls: ['2.04', '7.53', '90.43']
mean: ['0.00', '100.00', '0.00']
find: ['100.00', '0.00', '0.00']
rabbit: ['2.67', '12.15', '85.18']
theme: ['99.96', '0.00', '0.04']
bios: ['1.62', '30.21', '68.17']
spin: ['99.31', '0.43', '0.27']
ir: ['0.00', '100.00', '0.00']
medicine: ['0.00', '99.88', '0.12']
fellow: ['1.42', '98.53', '0.05']
concentrate: ['98.41', '1.56', '0.03']
photo: ['0.00', '96.50', '3.50']
reference: ['77.27', '22.09', '0.64']
functions: ['0.10', '85.48', '14.42']
investigators: ['62.97', '24.76', '12.27']
spy: ['0.01', '0.02', '99.98']
indianapolis: ['50.80', '48.00', '1.20']
cosmetics: ['89.97', '9.74', '0.29']
queue: ['0.01', '13.23', '86.76']
tables: ['0.57', '39.14', '60.29']
variable: ['0.00', '100.00', '0.00']
realm: ['3.46', '84.64', '11.90']
bucks: ['20.49', '0.00', '79.51']
stud: ['0.07', '46.95', '52.98']
forces: ['0.10', '19.92', '79.98']
senior: ['3.07', '2.88', '94.05']
remarkable: ['99.36', '0.47', '0.18']
epinions: ['19.07', '33.67', '47.25']
vibrator: ['96.74', '2.70', '0.55']
bulgarian: ['1.85', '0.27', '97.89']
endif: ['91.38', '2.18', '6.44']
genesis: ['0.09', '99.83', '0.09']
mountain: ['0.02', '0.79', '99.19']
screensavers: ['0.01', '0.49', '99.50']
starring: ['8.30', '0.27', '91.43']
debate: ['0.00', '99.99', '0.01']
steering: ['79.23', '18.93', '1.84']
exclusion: ['51.44', '47.58', '0.97']
sciences: ['0.00', '100.00', '0.00']
modems: ['83.43', '1.12', '15.45']
identified: ['99.94', '0.01', '0.04']
bingo: ['62.08', '33.32', '4.61']
temporal: ['83.01', '16.89', '0.11']
king: ['0.60', '99.39', '0.02']
dressed: ['0.53', '5.21', '94.26']
repository: ['24.85', '1.02', '74.13']
costume: ['24.24', '30.25', '45.51']
rangers: ['80.31', '17.55', '2.14']
recovered: ['100.00', '0.00', '0.00']
entity: ['18.71', '62.47', '18.82']
promotional: ['83.52', '9.61', '6.87']
forecasts: ['42.32', '57.06', '0.62']
society: ['0.74', '94.12', '5.14']
fruits: ['95.62', '0.18', '4.21']
layer: ['0.00', '0.00', '100.00']
museums: ['84.01', '0.60', '15.39']
flour: ['1.68', '98.23', '0.09']
parliament: ['0.01', '77.22', '22.77']
iceland: ['64.29', '1.14', '34.57']
elegant: ['98.75', '0.00', '1.25']
specifics: ['0.16', '99.84', '0.00']
basketball: ['0.18', '77.36', '22.46']
homeland: ['53.54', '1.68', '44.79']
river: ['0.00', '0.00', '100.00']
asbestos: ['87.17', '12.81', '0.02']
printing: ['30.49', '13.38', '56.13']
charity: ['90.16', '6.76', '3.08']
social: ['0.00', '99.95', '0.05']
laser: ['90.65', '0.14', '9.21']
desperate: ['8.34', '90.86', '0.81']
